Rk,Player,Pos,Squad,Federation,Gls,Sh,G/Sh
178,Casemiro,MF,br Brazil,CONMEBOL,1,4,0.25
180,Timothy Castagne,DF,be Belgium,UEFA,0,3,0
181,Kevin Castaño,MF,co Colombia,CONMEBOL,0,0,
183,Zeki Çelik,DF,tr Türkiye,UEFA,0,1,0
184,Lukáš Červ,MF,cz Czechia,UEFA,0,3,0
186,Trevoh Chalobah,DFMF,eng England,UEFA,0,0,
187,Štěpán Chaloupek,DF,cz Czechia,UEFA,0,0,
193,Rayan Cherki,MF,fr France,UEFA,0,1,0
196,Tomáš Chorý,FW,cz Czechia,UEFA,0,0,
197,Ryan Christie,MF,sct Scotland,UEFA,0,2,0
198,Carney Chukwuemeka,MF,at Austria,UEFA,0,2,0
199,Mojmír Chytil,FW,cz Czechia,UEFA,0,0,
204,Eray Cömert,DF,ch Switzerland,UEFA,0,0,
205,Francisco Conceição,MF,pt Portugal,UEFA,0,2,0
206,Jhon Córdoba,FW,co Colombia,CONMEBOL,0,2,0
209,Diogo Costa,GK,pt Portugal,UEFA,0,0,
211,Samu Costa,MF,pt Portugal,UEFA,0,0,
212,Vladimír Coufal,MFDF,cz Czechia,UEFA,0,1,0
213,Thibaut Courtois,GK,be Belgium,UEFA,0,0,
216,Pau Cubarsí,DF,es Spain,UEFA,0,4,0
217,Andrés Cubas,MF,py Paraguay,CONMEBOL,0,1,0
218,Cucho,FWMF,co Colombia,CONMEBOL,0,1,0
219,Marc Cucurella,DF,es Spain,UEFA,0,5,0
220,Matheus Cunha,FW,br Brazil,CONMEBOL,3,11,0.27
221,Findlay Curtis,MF,sct Scotland,UEFA,0,0,
223,Diogo Dalot,DFMF,pt Portugal,UEFA,0,1,0
224,Danilo,DF,br Brazil,CONMEBOL,0,1,0
225,Kevin Danso,DF,at Austria,UEFA,0,1,0
226,Vladimír Darida,MF,cz Czechia,UEFA,0,1,0
234,Kevin De Bruyne,MF,be Belgium,UEFA,1,20,0.05
235,Maxim De Cuyper,DF,be Belgium,UEFA,0,10,0
237,Charles De Ketelaere,FWMF,be Belgium,UEFA,3,6,0.5
238,Nicolás De La Cruz,MF,uy Uruguay,CONMEBOL,0,4,0
239,Rodrigo De Paul,MF,ar Argentina,CONMEBOL,0,2,0
240,Amar Dedić,DF,ba Bosnia–Herz,UEFA,0,2,0
243,Ousmane Dembélé,MF,fr France,UEFA,6,20,0.3
244,Merih Demiral,DF,tr Türkiye,UEFA,0,6,0
245,Ermedin Demirović,FW,ba Bosnia–Herz,UEFA,0,4,0
252,Rúben Dias,DF,pt Portugal,UEFA,0,0,
257,Luis Díaz,FWMF,co Colombia,CONMEBOL,1,19,0.05
259,Lucas Digne,DF,fr France,UEFA,0,2,0
266,Jeremy Doku,MF,be Belgium,UEFA,0,3,0
268,David Douděra,MF,cz Czechia,UEFA,0,4,0
269,Désiré Doué,MF,fr France,UEFA,1,13,0.08
273,Denzel Dumfries,DFMF,nl Netherlands,UEFA,0,5,0
275,Lyndon Dykes,FWMF,sct Scotland,UEFA,0,1,0
276,Edin Džeko,FW,ba Bosnia–Herz,UEFA,0,3,0
278,Anthony Elanga,MFFW,se Sweden,UEFA,2,3,0.67
281,Eren Elmalı,DF,tr Türkiye,UEFA,0,0,
282,Nico Elvedi,DF,ch Switzerland,UEFA,0,3,0
283,Breel Embolo,FW,ch Switzerland,UEFA,2,10,0.2
284,Julio Enciso,FW,py Paraguay,CONMEBOL,1,8,0.13
285,Endrick,FW,br Brazil,CONMEBOL,0,3,0
288,Pervis Estupiñán,MF,ec Ecuador,CONMEBOL,0,0,
293,Eberechi Eze,MF,eng England,UEFA,0,5,0
294,Fabinho,DFMF,br Brazil,CONMEBOL,0,1,0
297,Henrik Falchener,DF,no Norway,UEFA,0,0,
299,Christian Fassnacht,FWMF,ch Switzerland,UEFA,0,0,
305,João Félix,MF,pt Portugal,UEFA,0,6,0
306,Lewis Ferguson,MF,sct Scotland,UEFA,0,2,0
307,Bruno Fernandes,MF,pt Portugal,UEFA,0,9,0
308,Enzo Fernández,MF,ar Argentina,CONMEBOL,2,12,0.17
